회차,교시,번호,문제명,대분류,핵심 키워드,난이도
105,1,1,30층 이상 건축물 엘리베이터 설치 설계 고려사항 및 군관리 방식,4. 부하 설비,엘리베이터 군관리 설계,중
105,1,2,조명설계 시 눈부심 평가방법과 빛에 의한 순간적인 시력장애 현상,4. 부하 설비,눈부심 평가 시력장애,중
105,1,3,전력용 콘덴서의 열화원인과 열화대책,3. 수배전 설비,콘덴서 열화 원인 대책,중
105,1,4,전력간선의 배선 부설방식을 분류하고 특징 설명,3. 수배전 설비,배선 부설방식 간선설계,하
105,1,5,피뢰기의 열 폭주 현상 설명,3. 수배전 설비,피뢰기 열폭주 메커니즘,상
105,1,6,3권선 변압기의 용도와 특징 설명,3. 수배전 설비,3권선 변압기 용도 특징,중
105,1,7,공심변류기의 구조와 특성 설명,3. 수배전 설비,공심변류기 구조 특성,상
105,1,8,저압 전로 중 저압 개폐기 필요개소 및 시설방법,3. 수배전 설비,저압 개폐기 시설기준,하
105,1,9,전기설비에서 역률개선 기대효과 설명,7. 에너지/진단,역률개선 효과 전력손실경감,하
105,1,10,접지시스템의 접속방법 중 발열 용접과 압착 슬리브 접속방법,6. KEC/접지/방재,발열용접 압착슬리브,중
105,1,11,태양광 발전설비 전력계통 연계 시 인버터의 단독운전 방지기능,5. 신재생/신기술,단독운전 방지 PCS,중
105,1,12,LED(Light Emitting Diode)램프의 발광원리와 특징,4. 부하 설비,LED 발광원리 특징,하
105,1,13,"22.9kV 수전설비 과전류 계정기 Tap 설정(18A, 30/5 CT)",3. 수배전 설비,OCR Tap 설정 계산,상
105,2,1,등전위본딩의 개념과 감전보호용 등전위본딩 설명,6. KEC/접지/방재,등전위본딩 감전보호,중
105,2,2,GPT(Grounded Potential Transformer)에서 발생되는 중성점 불안정 현상의 발생원인과 대책,3. 수배전 설비,GPT 중성점 불안정 현상,상
105,2,3,변압기 이행전압의 개념과 보호방법 설명,3. 수배전 설비,변압기 이행전압 보호,상
105,2,4,수변전설비 설계 시 환경에 미치는 영향과 대안 설명,8. 법규/설계,수변전설비 환경영향,중
105,2,5,한전에서 정하고 있는 분산형 전원의 계통연계 기준 설명,8. 법규/설계,분산형전원 계통연계기준,중
105,2,6,3상단락 고장 시 차단기 차단용량 및 한류리액터 리액턴스 계산,2. 전력 계통,단락용량 한류리액터 계산,상
105,3,1,"에너지절약 계획서 의무/권장사항(수변전, 조명, 전력간선)",7. 에너지/진단,에너지절약 계획서,중
105,3,2,원방감시제어(SCADA: Supervisory Control and Data Acquisition) 시스템,8. 법규/설계,SCADA 원방감시제어,중
105,3,3,동상 다조케이블 포설 시 전류의 불평형 방지 방안,3. 수배전 설비,다조케이블 전류불평형,상
105,3,4,공동구 내 설치되는 케이블의 방화대책 설명,6. KEC/접지/방재,공동구 화재방호 대책,중
105,3,5,풍력발전용 발전기 선정 고려사항과 풍력터빈 정지장치 시설기준,5. 신재생/신기술,풍력발전 시설기준,중
105,3,6,무정전전원장치(UPS) 설계 시 고려사항과 UPS용 축전지 용량산정,3. 수배전 설비,UPS 용량산정 축전지,상
105,4,1,태양광발전용 전력변환장치(PCS)의 회로방식 설명,5. 신재생/신기술,PCS 회로방식 태양광,중
105,4,2,전력선 통신시스템(PLC Power Line Communication) 설명,8. 법규/설계,PLC 전력선통신,하
105,4,3,DALI(Digital Addressable Lighting Interface) 프로토콜을 이용한 조광기술,4. 부하 설비,DALI 조광제어 프로토콜,중
105,4,4,변압기의 수명과 과부하운전과의 관계 및 과부하운전 시 고려사항,3. 수배전 설비,변압기 수명 과부하운전,중
105,4,5,전기설비의 내진설계 개념 및 내진대책 설명,6. KEC/접지/방재,전기설비 내진설계,중
105,4,6,에너지 저장시스템(ESS)의 종류인 초 고용량 커패시터(Super Capacitor),5. 신재생/신기술,슈퍼커패시터 ESS,중
106,1,1,수변전설비 설계에서 변압기 용량 산정 방법,3. 수배전 설비,변압기 용량산정 수용률,중
106,1,2,변류기 부담의 종류 및 적용,3. 수배전 설비,CT 부담 정격,중
106,1,3,접지전극의 과도현상과 그 대책,6. KEC/접지/방재,접지전극 과도현상 임펄스,상
106,1,4,전력케이블 손실 종류(도체손 유전체손 연피손),3. 수배전 설비,케이블 손실 유전체손,중
106,1,5,병렬 회로 전원전압 및 선로 손실 전력 계산,1. 기초 이론,회로망 계산 복소수전력,상
106,1,6,저압차단기 용도별(주택용/산업용) 적용 및 동작특성,3. 수배전 설비,저압차단기 동작시간,중
106,1,7,백색 LED 광원을 사용한 도광식 유도등,4. 부하 설비,도광식 유도등 LED,하
106,1,8,전압강하 벡터도 및 기본식 설명,1. 기초 이론,전압강하 유도식 벡터도,중
106,1,9,태양전지 바이패스 다이오드와 블로킹 다이오드 역할,5. 신재생/신기술,바이패스 블로킹 다이오드,중
106,1,10,수변전 설비 공급 신뢰도(사고확률 신뢰도계산),2. 전력 계통,수변전 신뢰도 계산,상
106,1,11,조도계산 시 광손실률 설명,4. 부하 설비,광손실률 감광보상률,하
106,1,12,유도전동기 벡터 인버터 제어 원리 및 구성,4. 부하 설비,벡터제어 인버터 유도전동기,상
106,1,13,SMPS(Switched Mode Power Supply) 종류 및 적용 방법,4. 부하 설비,SMPS 회로방식 적용,중
106,2,1,백색 LED 구현 방법(발광원리 종류별),4. 부하 설비,백색 LED 발광원리,중
106,2,2,뇌 이상전압이 전기설비에 미치는 영향,6. KEC/접지/방재,뇌 이상전압 서지 영향,중
106,2,3,Bus Duct System의 구성 및 설계 공시 유의사항,3. 수배전 설비,버스덕트 설계 시공,중
106,2,4,특고압 수전설비 지중 케이블 용량산정 방법,3. 수배전 설비,지중케이블 허용전류 용량산정,상
106,2,5,구내방송설비 스피커 적용 및 사무실 스피커 배치방법,4. 부하 설비,구내방송 스피커 배치 BGM,하
106,2,6,주택용 일괄소등 스위치와 융합기술,4. 부하 설비,일괄소등 스위치 스마트홈,하
106,3,1,백화점 조명계획 주요 요소별 설계 및 시공방법,4. 부하 설비,백화점 조명 설계,중
106,3,2,공동주택 변압기용량 과적용의 문제점과 대책,3. 수배전 설비,공동주택 변압기용량 적정성,중
106,3,3,KSC IEC 62305 피뢰시스템(LPS) 외부/내부 시스템,6. KEC/접지/방재,LPS 외부내부 피뢰시스템,상
106,3,4,22.9 kV-Y 수전용 변압기 보호장치,3. 수배전 설비,수전용 변압기 보호 계전기,중
106,3,5,변전설비 온라인 진단시스템,7. 에너지/진단,온라인 예방진단 시스템,상
106,3,6,저압 계통 PEN선 또는 중성선 단선 시 위험성과 대책,6. KEC/접지/방재,중성선 단선 사고 대책,상
106,4,1,대지저항률 측정 전위강하법(3전극법) 및 Wenner 4전극법 비교,6. KEC/접지/방재,전위강하법 웨너 4전극법,상
106,4,2,교류 1 kV 초과 전력설비 접지시스템 안전기준(IEC 61936-1),6. KEC/접지/방재,IEC 61936 접지 안전기준,상
106,4,3,수용가 구내설비 직류 배전과 교류 배전 비교 및 고려사항,2. 전력 계통,직류배전 교류배전 비교,중
106,4,4,VCB(진공차단기) 적용 고려사항 및 적용기준,3. 수배전 설비,VCB 차단기 특성,중
106,4,5,태양광 발전 계통연계형 인버터 설명,5. 신재생/신기술,계통연계형 인버터 PCS,중
106,4,6,동기 전동기의 원리 구조 기동방법 특징,4. 부하 설비,동기전동기 기동방식 특징,중
107,1,1,3상 단락전류 20kA 시 CT 정격 과전류 강도 및 정격 과전류 정수 계산,3. 수배전 설비,CT 과전류강도 정격 과전류정수,상
107,1,2,방전 전류가 시간과 함께 감소하는 패턴의 축전지 용량 계산,3. 수배전 설비,축전지 용량산정 용량환산시간 K,상
107,1,3,분산형 전원 배전계통 연계 시 순시전압 변동 요건,5. 신재생/신기술,분산형전원 순시전압변동,중
107,1,4,22.9kV 주변압기 1차 PF 보호 시 결상 및 역상 보호방안,3. 수배전 설비,PF 결상보호 역상보호,중
107,1,5,K-Factor로 인한 변압기 출력 감소율(THDF) 설명,3. 수배전 설비,K-Factor THDF 변압기 고조파,중
107,1,6,저압계통 전기설비 및 기기 임펄스 내압 레벨 기준,6. KEC/접지/방재,임펄스 내압레벨 절연협조,중
107,1,7,도체의 근접효과(Proximity Effect) 설명,1. 기초 이론,근접효과 표피효과,하
107,1,8,UPS 2차 측 단락회로의 분리보호방식,3. 수배전 설비,UPS 단락보호 분리보호,중
107,1,9,유도전동기 회로용 배선용차단기(MCCB) 선정조건,3. 수배전 설비,유도전동기 MCCB 선정,하
107,1,10,보호계전기의 기억작용(Memory Action) 설명,3. 수배전 설비,보호계전기 기억작용,중
107,1,11,선로정수(R L C G) 구성 요소 설명,1. 기초 이론,선로정수 저항 인덕턴스 정전용량,하
107,1,12,R-L 직렬회로의 비정현파 전류 흐름 시 순시단자전압 v 계산,1. 기초 이론,R-L 직렬회로 비정현파 계산,상
107,1,13,KS C IEC 60364-5-54에 의한 PEN PEL PEM 도체 요건,6. KEC/접지/방재,PEN 도체 단면적 요건,중
107,2,1,전압 불평형률이 유도전동기에 미치는 영향,4. 부하 설비,전압 불평형률 유도전동기 손실,중
107,2,2,스폿네트워크(Spot Network) 수전방식 사고 구간별 보호 및 협조,3. 수배전 설비,스폿네트워크 네트워크 프로텍터,상
107,2,3,154kV 대용량 수용가 모선 구성 및 보호방식,3. 수배전 설비,154kV 모선보호방식 단모선 복모선,상
107,2,4,인텔리전트 빌딩의 공통접지와 통합접지방식,6. KEC/접지/방재,공통접지 통합접지,중
107,2,5,플로어 덕트(Floor Duct) 배선 설계 및 시공 특기사항,4. 부하 설비,플로어덕트 배선공사,하
107,2,6,전력설비 관리 3단계 및 기술적/경제적 운영정책 고려사항,8. 법규/설계,전력자산관리 LCC분석,중
107,3,1,호텔 객실관리 전기설비 및 에너지 절약 방안,4. 부하 설비,호텔 객실관리시스템 에너지절약,하
107,3,2,6.6kV 비접지 1선 지락 영상전압 유도 및 SGR 감도저하 현상,3. 수배전 설비,영상전압 유도 SGR 감도저하,상
107,3,3,수용가 변압기 2차 F점 3상 단락고장 전류 계산(X/R비 고려),2. 전력 계통,단락전류 계산 X/R비 %Z,상
107,3,4,누전차단기(ELB) 오동작 원인 및 방지대책,3. 수배전 설비,누전차단기 오동작 방지,중
107,3,5,HVDC 컨버터(전류형/전압형) 원리 및 장단점 전망,5. 신재생/신기술,HVDC 전류형 전압형 컨버터,상
107,3,6,뇌격에 의한 구조물 손실 유형 및 보호(방호)대책(IEC 62305),6. KEC/접지/방재,구조물 손실유형 뇌격보호,중
107,4,1,공동구 전기설비 설계기준 설명,8. 법규/설계,공동구 설계기준 방화대책,중
107,4,2,변압기 2차 Y-ZigZag 및 델타 결선 시 제3고조파 유출 비교,3. 수배전 설비,지그재그 결선 제3고조파 억제,상
107,4,3,디지털 보호계전기 노이즈 침입 모드 및 보호대책,3. 수배전 설비,디지털계전기 노이즈 써지보호,중
107,4,4,EMC EMI EMS의 개념 및 상호관계 설명,8. 법규/설계,전자파 적합성 간섭 감수성,하
107,4,5,건축물 전력 간선 설계 순서 및 고려사항,8. 법규/설계,전력간선 설계 순서 부하산정,하
107,4,6,터널조명 표준(KS C 3703) 기본부 및 출구부 설계기준,4. 부하 설비,터널조명 설계기준 야외휘도,중
108,1,1,전기회로와 자기회로의 차이점 설명,1. 기초 이론,전기회로 자기회로 비교,하
108,1,2,CT의 과전류강도 및 22.9kV급 MOF의 과전류강도 적용,3. 수배전 설비,CT 과전류강도 MOF 정격,중
108,1,3,6.6kV 구내배전 유도원판형 OCR 한시탭 협조 및 시간 협조항목,3. 수배전 설비,OCR 한시탭 협조 시간간격,상
108,1,4,변압기 효율이 최대가 되는 관계식 유도,3. 수배전 설비,변압기 최대효율 조건 철손 동손,중
108,1,5,비상발전기 운전 시 과전압 발생원인과 대책,3. 수배전 설비,비상발전기 과전압 자기여자현상,중
108,1,6,공동주택 및 건축물 규모에 따른 감리원 배치기준,8. 법규/설계,감리원 배치기준 전력기술관리법,하
108,1,7,태양전지 V-I 특성곡선 및 인버터/모듈 설치기준,5. 신재생/신기술,태양전지 특성곡선 인버터 설치기준,중
108,1,8,전기설비 설치공간 기준 (건축물설비기준 등에 관한 규칙),8. 법규/설계,전기설비 설치공간 변전실 면적,하
108,1,9,평형 Y결선 b상 개방 시 대칭분 전류와 중성선 전류 계산,1. 기초 이론,대칭좌표법 불평형 전류 계산,상
108,1,10,빌딩제어시스템 가용성(Availability) 및 MTBF MTTR 관계 설명,8. 법규/설계,가용성 MTBF MTTR,중
108,1,11,고조파 부하가 케이블에 미치는 영향 설명,3. 수배전 설비,고조파 케이블 과열 피부효과,중
108,1,12,휘도와 광속발산도 정의 및 완전확산면에서의 상호 관계,4. 부하 설비,휘도 광속발산도 완전확산면,중
108,1,13,교육연구시설의 최소 태양광 설치용량(kW) 계산,5. 신재생/신기술,신재생에너지 공급의무비율 계산,상
108,2,1,뇌서지 보호 시스템(LPS)의 기본 구성 설명,6. KEC/접지/방재,뇌서지 보호시스템 SPD,중
108,2,2,초고층 빌딩에 적합한 조명시스템의 필요조건,4. 부하 설비,초고층 조명설계 휘도제어,중
108,2,3,건축물 내 수변전설비 변압기의 합리적인 뱅킹(Banking) 방식,3. 수배전 설비,변압기 뱅킹방식 저압뱅킹,중
108,2,4,터빈발전기 계통 병렬 운전 시 동기 불일치 손상 및 동기투입 조건,3. 수배전 설비,발전기 병렬운전 동기검정,상
108,2,5,단순 병렬운전 분산형 전원 보호장치 시설방법 (수전설비별),5. 신재생/신기술,분산형전원 보호장치 단순병렬,중
108,2,6,유도전동기 직입 기동 시 전동기 연결모선의 전압강하(%) 계산,2. 전력 계통,전동기 기동 전압강하 PU임피던스,상
108,3,1,6.6kV 전동기용 OCR(50/51) 및 변압기 고압측 OCR 정정 방법,3. 수배전 설비,OCR 정정 전동기 보호,상
108,3,2,비상콘센트설비 설치대상 및 설치기준 방법,6. KEC/접지/방재,비상콘센트 화재안전기준,하
108,3,3,차단기 개폐 서지의 종류별 특징과 방지대책,3. 수배전 설비,개폐서지 개폐서지 흡수기(SA),중
108,3,4,대지저항률에 영향을 미치는 요인 설명,6. KEC/접지/방재,대지저항률 온도 습도 토양,하
108,3,5,감리대가 산출방법 (정액적산방식 및 직선보간법 요율),8. 법규/설계,감리비 산출 정액적산방식,하
108,3,6,전력감시제어 시스템 구성(PLC HMI SCADA) 특징 및 고려사항,8. 법규/설계,SCADA PLC HMI 시스템구성,중
108,4,1,440V 이상 회로의 중성점 직접접지 및 비접지 지락차단장치 시설,6. KEC/접지/방재,지락차단장치 440V 계통,중
108,4,2,전동기의 제동방법 종류 및 특징 설명,4. 부하 설비,전동기 제동 발전제동 회생제동,중
108,4,3,전선 보호장치(과부하/단락) 시설위치 및 생략 조건,3. 수배전 설비,과부하 보호장치 단락 보호장치 생략,중
108,4,4,에너지 절약계획서 전기부문 의무/권장사항 및 제출 제외 건축물,7. 에너지/진단,에너지절약계획서 의무사항,중
108,4,5,전력감시제어 이중화 시스템(Redundancy) 설명,8. 법규/설계,제어시스템 이중화 가용성 향상,상
108,4,6,50Hz 설계 변압기 및 전동기를 60Hz 전원에서 사용 시 특성변화,3. 수배전 설비,주파수 변경 특성변화 효율 전동기속도,중
109,1,1,KS C 3703 터널 조명 휘도대비계수 및 조명방식 3가지,4. 부하 설비,터널조명 휘도대비계수,중
109,1,2,기계기구 철대 및 외함 접지공사 생략 가능 조건,6. KEC/접지/방재,접지공사 생략조건 제3종 접지,하
109,1,3,전기안전관리자 공사 시 관리감독 및 완료 시 확인점검 사항,8. 법규/설계,전기안전관리자 직무 공사감독,중
109,1,4,건축전기설비의 전압 밴드(Voltage Bands) 설명,8. 법규/설계,전압밴드 저압 고압 구분,하
109,1,5,지중전선로의 종류별 시설방법 및 특성 설명,3. 수배전 설비,지중전선로 시설방법 관로식 암거식,중
109,1,6,직렬리액터 설치목적/용량산정/문제점 및 대책,3. 수배전 설비,직렬리액터 제5고조파 돌입전류,중
109,1,7,변압기 용량산정 시 수용률 부등률 부하율 설명,3. 수배전 설비,수용률 부등률 부하율,하
109,1,8,에너지저장시스템(ESS)용 PCS 용도별 분류 및 설명,5. 신재생/신기술,ESS PCS 전력변환장치,중
109,1,9,축전지의 충방전 메모리효과(Memory Effect) 설명,3. 수배전 설비,축전지 메모리효과 니카드전지,하
109,1,10,광원의 연색성(Color Rendition) 평가 설명,4. 부하 설비,연색성 평균연색평가수(Ra),중
109,1,11,피뢰기 공칭방전전류 및 설치 장소별 적용조건,3. 수배전 설비,피뢰기 공칭방전전류 LA 적용조건,상
109,1,12,저압 직류지락차단장치의 구성방법과 동작원리,6. KEC/접지/방재,직류지락차단장치 RCM,상
109,1,13,전력용콘덴서의 허용 최대사용전류 설명,3. 수배전 설비,콘덴서 허용전류 고조파 영향,중
109,2,1,중성점 접지방식(직접/저항/비접지) 특징 비교 설명,2. 전력 계통,중성점 접지방식 비교 지락전류,상
109,2,2,단상 유도전동기의 원리 및 기동방법 종류별 특징,4. 부하 설비,단상유도전동기 기동방식 분상기동형,중
109,2,3,건물 에너지 관리시스템(BEMS)의 기능 상세 설명,7. 에너지/진단,BEMS 건물에너지관리시스템 기능,중
109,2,4,이상적인 초전도 전류제한기 조건 및 전류제한형 초전도변압기,5. 신재생/신기술,초전도 전류제한기 SFCL,상
109,2,5,의료장소 전기설비(보호설비/누전차단기/비상전원) 시설기준,8. 법규/설계,의료장소 전기설비 IT접지,상
109,2,6,저압간선 케이블 규격 선정 시 고려사항 설명,3. 수배전 설비,케이블 굵기 선정 전압강하 허용전류,중
109,3,1,가로등/보안등 광원 및 배광방식 종류별 특징 비교,4. 부하 설비,가로등 배광방식 컷오프 조명,중
109,3,2,매설구조물 부식현상 및 방지대책(전기방식 포함),6. KEC/접지/방재,전식방지 외부전원법 희생양극법,상
109,3,3,변전실 계획 시 전기적/건축적 고려사항 설명,8. 법규/설계,변전실 위치 선정 변전실 면적,중
109,3,4,고압 수용가 계약전력 결정기준 및 수전전압 결정방법,8. 법규/설계,계약전력 결정기준 수전전압,중
109,3,5,전동기 정격의 정의/종류/선정 시 고려사항/명판 표시사항,4. 부하 설비,전동기 정격 연속정격 단시간정격,중
109,3,6,주차관제설비의 구성요소와 설계 시 고려사항 설명,4. 부하 설비,주차관제설비 루프코일,하
109,4,1,수상태양광발전설비 계통구성/계류장치/특징 설명,5. 신재생/신기술,수상태양광 수위적응 계류장치,중
109,4,2,건축화 조명의 종류별 조명방식 특징 및 설계 고려사항,4. 부하 설비,건축화조명 코브조명 광천장조명,하
109,4,3,태풍/장마 시 가로등 감전사고 안전대책 설명,6. KEC/접지/방재,가로등 감전방지 침수대책,중
109,4,4,이차전지 이용 전기저장장치(ESS) 시설기준 및 보호장치,5. 신재생/신기술,ESS 시설기준 계측장치 보호장치,상
109,4,5,변류기(CT)의 이상현상(포화/오결선/2차개방) 원인과 대책,3. 수배전 설비,CT 이상현상 CT 2차 개방,상
109,4,6,저압 유도전동기 보호방식 및 선정 시 고려사항 설명,4. 부하 설비,유도전동기 보호 과부하보호,중
110,1,1,건축전기설비공사 공사시방서 명기 사항 설명,8. 법규/설계,공사시방서 작성요령,하
110,1,2,비접지 국부 등전위본딩에 의한 보호 (IEC 60364-4-41),6. KEC/접지/방재,비접지 국부 등전위본딩 감전보호,중
110,1,3,보호용 변류기 25VA 5P20 및 C100의 의미 설명,3. 수배전 설비,CT 오차계급 정격부담,상
110,1,4,변압기 여자전류가 비정현파로 되는 이유 설명,3. 수배전 설비,변압기 여자전류 히스테리시스 곡선,중
110,1,5,전동기 기동방식 선정 시 고려사항 설명,4. 부하 설비,전동기 기동방식 기동전압강하,중
110,1,6,태양전지 모듈 설치 시 발전에 영향을 미치는 요인 3가지,5. 신재생/신기술,태양광 발전효율 영향요인,하
110,1,7,BLDC(Brush Less DC) 모터의 동작원리와 특징 설명,4. 부하 설비,BLDC 모터 원리 특징,중
110,1,8,전력용 콘덴서 내부소자 보호방식 설명,3. 수배전 설비,콘덴서 내부소자 보호 NVS,중
110,1,9,설계VE(Value Engineering) 검토 대상 시기 업무절차,8. 법규/설계,설계VE 가치공학 업무절차,중
110,1,10,저압설비 SPD 분기용 개폐장치 설치방식,6. KEC/접지/방재,SPD 분기개폐기 설치방법,중
110,1,11,차단기 회복전압의 종류 및 특징 설명,3. 수배전 설비,차단기 회복전압 재기전압,상
110,1,12,고압케이블 차폐층 미접지 시 위험성 설명,3. 수배전 설비,고압케이블 차폐층 접지 정전유도,중
110,1,13,중첩의 원리를 이용한 Voc Zeq 및 부하전류 계산,1. 기초 이론,회로이론 중첩의원리 테브난정리,상
110,2,1,공사착공단계 및 공사시행단계 감리업무 설명,8. 법규/설계,감리업무 수행지침 착공단계 시행단계,하
110,2,2,고조파가 콘덴서에 미치는 영향과 대책 설명,3. 수배전 설비,고조파 콘덴서 영향 직렬리액터,중
110,2,3,통합접지시스템 설치 요건 특징 및 기초콘크리트 접지 시공,6. KEC/접지/방재,통합접지시스템 기초콘크리트접지,중
110,2,4,변압기 부분방전 개념 및 부분방전시험 설명,3. 수배전 설비,변압기 부분방전 절연진단,상
110,2,5,대형교량의 야간경관 조명설계 설명,4. 부하 설비,경관조명 설계 휘도 조도,중
110,2,6,송전선 F점에서의 3상 단락용량 계산,2. 전력 계통,단락용량 계산 PU법 임피던스맵,상
110,3,1,건축전기설비 공사 시 타 공정 협의 인터페이스 사항,8. 법규/설계,전기공사 타공정 협의 인터페이스,중
110,3,2,UTP 동축 광케이블의 구조 특징 및 종류 설명,8. 법규/설계,통신케이블 UTP 광케이블 구조,하
110,3,3,영상변류기(ZCT) 검출원리 정격 및 시공 시 고려사항,3. 수배전 설비,ZCT 검출원리 잔류전류,중
110,3,4,누전차단기 오동작(서지 순환전류 유도) 원인과 대책,3. 수배전 설비,ELB 오동작 서지 유도전류,상
110,3,5,전기설비 정전 최소화 대책 설명,3. 수배전 설비,정전최소화 예방보전 이중화,중
110,3,6,스마트그리드 구현기술과 V2G(Vehicle to Grid) 설명,5. 신재생/신기술,스마트그리드 V2G 양방향송전,중
110,4,1,시공계획서와 시공상세도(Shop Drawing) 포함 사항 설명,8. 법규/설계,시공계획서 시공상세도 작성,하
110,4,2,진행파 기본원리 가공선 및 케이블 특성임피던스 전파속도,1. 기초 이론,진행파 특성임피던스 전파속도,상
110,4,3,전력용 변압기 효율적 관리 방안 설명,3. 수배전 설비,변압기 효율관리 부하율 최적화,중
110,4,4,내열/내화배선 종류 공사방법 및 케이블 방재 설계방안,6. KEC/접지/방재,내화배선 내열배선 방재설계,중
110,4,5,발전기실 위치 면적 기초 소음 및 진동대책 설명,3. 수배전 설비,발전기실 설계 소음진동방지,중
110,4,6,최대수요전력제어(Peak Cut/Peak Shift) 설명,7. 에너지/진단,최대수요전력제어 피크제어,중
111,1,1,"조명 용어 설명(방사속, 광속, 광량, 광도, 조도)",4. 부하 설비,조명 용어 방사속 광속 조도,하
111,1,2,접지극의 접지저항 저감 방법(물리적/화학적) 설명,6. KEC/접지/방재,접지저항 저감 접지저감제,중
111,1,3,건축전기설비 축전지실 위치선정 시 고려사항,3. 수배전 설비,축전지실 위치선정,하
111,1,4,피뢰기의 정격전압 및 공칭방전전류 설명,3. 수배전 설비,피뢰기 정격전압 공칭방전전류,중
111,1,5,설계감리 대상 전력시설물 설계도서 및 업무 범위,8. 법규/설계,설계감리 전력시설물 업무범위,중
111,1,6,특고압/고압 변압기 2차 전로의 혼촉방지방법,3. 수배전 설비,혼촉방지판 변압기 2차 접지,중
111,1,7,"보호계전기 동작상태 판정 용어(정동작, 오동작, 정부동작, 오부동작)",3. 수배전 설비,보호계전기 동작판정,중
111,1,8,풀용 수중조명등 공급 절연변압기 시설기준,8. 법규/설계,수중조명등 절연변압기,중
111,1,9,공사감리 기성검사의 목적/종류/절차 설명,8. 법규/설계,공사감리 기성검사 절차,하
111,1,10,교류회로 공진 정의 및 직렬/병렬 공진주파수,1. 기초 이론,직렬공진 병렬공진 공진주파수,중
111,1,11,전력용변압기 최대효율조건 유도 및 설명,3. 수배전 설비,변압기 최대효율 철손 동손,중
111,1,12,외함의 보호등급(IP) 중 물의 침입에 대한 보호,8. 법규/설계,IP 등급 방수보호,하
111,1,13,"피뢰시스템 구성요소 용어(피뢰침, 인하도선, 접지극, SPD)",6. KEC/접지/방재,LPS 구성요소 SPD,중
111,2,1,건축물 전반조명 설계순서 및 항목별 검토사항,4. 부하 설비,전반조명 설계순서,중
111,2,2,간선 고조파 전류 발생원인/파형/영향/저감대책,3. 수배전 설비,간선 고조파 저감대책,상
111,2,3,지능형 건축물 인증제도 전기설비 평가항목 및 기대효과,8. 법규/설계,지능형건축물 인증평가,중
111,2,4,전기설비 방폭원리 및 방폭구조 설명,4. 부하 설비,방폭구조 내압방폭 압력방폭,상
111,2,5,자가용 수변전설비 설계 시 에너지 절약방안,7. 에너지/진단,수변전 에너지절약 변압기효율,중
